class,threshold,n_total,n_drop,pct_drop
benign,0.0,2639,896,33.95225464190982
benign,0.01,2639,497,18.83289124668435
benign,0.02,2639,287,10.875331564986737
benign,0.05,2639,116,4.395604395604396
benign,0.1,2639,62,2.3493747631678668
benign,0.15,2639,33,1.2504736642667678
benign,0.2,2639,7,0.26525198938992045
malignant,0.0,1640,401,24.451219512195124
malignant,0.01,1640,198,12.073170731707316
malignant,0.02,1640,109,6.646341463414634
malignant,0.05,1640,40,2.4390243902439024
malignant,0.1,1640,19,1.1585365853658536
malignant,0.15,1640,9,0.5487804878048781
malignant,0.2,1640,5,0.3048780487804878
