,,Test_BalAcc,Test_BalAcc,Test_Sens,Test_Sens,Test_Spec,Test_Spec,Test_AUC,Test_AUC,Test_AUPRC,Test_AUPRC,ECE_Improvement,ECE_Improvement
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Experiment,Model,,,,,,,,,,,,
baseline,convnext_tiny,0.809,0.023,0.806,0.043,0.812,0.054,0.894,0.013,0.857,0.018,0.018,0.01
baseline,deit_tiny_distilled_patch16_224,0.804,0.02,0.85,0.027,0.757,0.044,0.894,0.009,0.849,0.015,0.011,0.017
baseline,densenet121,0.776,0.023,0.853,0.036,0.699,0.051,0.873,0.01,0.817,0.016,0.01,0.01
baseline,efficientnet_b0,0.786,0.028,0.794,0.067,0.779,0.113,0.873,0.017,0.817,0.02,0.011,0.008
baseline,maxvit_t,0.788,0.012,0.831,0.052,0.746,0.06,0.87,0.016,0.799,0.037,0.005,0.01
baseline,mobilenet_v3_small,0.78,0.016,0.811,0.047,0.749,0.076,0.865,0.017,0.793,0.02,0.011,0.011
baseline,regnety_008,0.782,0.023,0.871,0.049,0.692,0.056,0.875,0.027,0.808,0.051,0.011,0.01
baseline,resnet50,0.767,0.051,0.751,0.146,0.783,0.062,0.852,0.03,0.769,0.044,0.016,0.01
baseline,swin_t,0.825,0.025,0.866,0.03,0.783,0.028,0.907,0.015,0.86,0.029,0.014,0.015
baseline,vgg16,0.789,0.033,0.79,0.127,0.788,0.074,0.875,0.015,0.816,0.025,0.015,0.015
