architecture,n_external,n_pos,n_neg,fold_auc_mean,fold_auc_sd,fold_auc_boot_ci95_l,fold_auc_boot_ci95_u,ensemble_auc,ensemble_boot_ci95_l,ensemble_boot_ci95_u,expected_folds,prefix,experiment,border_ratio,border_type
swin_t,897,334,563,0.906692122,0.015468483,0.887376598,0.923653591,0.923591538,0.904360455,0.940114971,5,v2.0_final_artifacts_5pct,baseline,0,uniform
convnext_tiny,897,334,563,0.894148116,0.013400445,0.873661712,0.912818724,0.913615043,0.892863682,0.931957859,5,v2.0_final_artifacts_5pct,baseline,0,uniform
deit_tiny_distilled_patch16_224,897,334,563,0.893620574,0.009107294,0.873445627,0.911495779,0.915157252,0.894425842,0.933076119,5,v2.0_final_artifacts_5pct,baseline,0,uniform
vgg16,897,334,563,0.87519703,0.014982991,0.853817523,0.89498432,0.898772615,0.877053238,0.918275829,5,v2.0_final_artifacts_5pct,baseline,0,uniform
regnety_008,897,334,563,0.874534413,0.026517291,0.8535715,0.894113803,0.904159709,0.882752661,0.923921627,5,v2.0_final_artifacts_5pct,baseline,0,uniform
efficientnet_b0,897,334,563,0.873278842,0.017437771,0.85173118,0.892379361,0.90238351,0.88012241,0.92151365,5,v2.0_final_artifacts_5pct,baseline,0,uniform
densenet121,897,334,563,0.872894353,0.010072021,0.85146793,0.892741063,0.900979568,0.878840125,0.921555144,5,v2.0_final_artifacts_5pct,baseline,0,uniform
maxvit_t,897,334,563,0.87040023,0.015844418,0.848855719,0.890242843,0.897799428,0.87557977,0.917097633,5,v2.0_final_artifacts_5pct,baseline,0,uniform
mobilenet_v3_small,897,334,563,0.864851469,0.016727643,0.842668401,0.884566326,0.896363578,0.873596719,0.91607687,5,v2.0_final_artifacts_5pct,baseline,0,uniform
resnet50,897,334,563,0.852529754,0.029627544,0.83031797,0.872263291,0.887626169,0.863794418,0.9088083,5,v2.0_final_artifacts_5pct,baseline,0,uniform
